Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_0	1.712606	0.020113	0.000086	0.290914
specbzip_1	1.673547	0.016069	0.000086	0.367662
specbzip_2	1.673150	0.016069	0.000076	0.367686
specbzip_3	1.673150	0.016068	0.000072	0.367686
specbzip_4	1.637846	0.012480	0.000072	0.480988
specbzip_5	1.614752	0.012483	0.000072	0.404298
specbzip_6	1.594147	0.012480	0.000072	0.347032
specbzip_7	1.689497	0.017823	0.000076	0.328111
specbzip_8	1.675726	0.016517	0.000067	0.355205
specbzip_9	1.620835	0.010632	0.000066	0.562538
specbzip_10	1.620440	0.010632	0.000066	0.557439
specbzip_11	1.619719	0.010633	0.000066	0.552840
specbzip_12	1.648521	0.012451	0.000072	0.505775
specbzip_13	1.643754	0.011768	0.000055	0.404086
specbzip_14	1.608345	0.009572	0.000048	0.440055
specbzip_15	1.613029	0.009911	0.000036	0.366861
