Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spechmmer_0	5.618177	0.057371	0.100696	0.890215
spechmmer_1	3.675353	0.019356	0.036706	0.915751
spechmmer_2	5.589006	0.053120	0.100885	0.913097
spechmmer_3	5.589006	0.053120	0.100204	0.917589
spechmmer_4	5.589006	0.053120	0.100204	0.917589
spechmmer_5	5.589006	0.053120	0.100204	0.917589
spechmmer_6	5.505899	0.052221	0.093216	0.968831
spechmmer_7	5.505899	0.052221	0.093216	0.968831
spechmmer_8	5.505899	0.052221	0.093216	0.968831
spechmmer_9	4.430572	0.036066	0.066544	0.955166
spechmmer_10	3.867043	0.025484	0.048823	0.944751
spechmmer_11	3.675353	0.019356	0.036706	0.915751
spechmmer_12	3.703423	0.019356	0.037886	0.896057
