Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf_0	1.102247	0.003205	0.000034	0.541138
specmcf_1	1.099705	0.002586	0.000034	0.667579
specmcf_2	1.097279	0.002198	0.000034	0.788200
specmcf_3	1.097201	0.002198	0.000029	0.790158
specmcf_4	1.095253	0.002198	0.000029	0.732935
specmcf_5	1.093063	0.002198	0.000029	0.678286
specmcf_6	1.091023	0.001907	0.000019	0.782270
specmcf_7	1.095318	0.001865	0.000019	0.923510
specmcf_8	1.094928	0.001858	0.000019	0.921726
specmcf_9	1.094928	0.001858	0.000019	0.921726
specmcf_10	1.077225	0.001084	0.000013	0.862356
specmcf_11	1.072008	0.000721	0.000009	0.735622
specmcf_12	1.071926	0.000704	0.000009	0.753816
specmcf_13	1.075348	0.000888	0.000009	0.683241
