Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng_0	7.056530	0.121912	0.000020	0.998645
specsjeng_1	7.056086	0.121870	0.000020	0.999326
specsjeng_2	7.056053	0.121870	0.000019	0.999332
specsjeng_3	7.055731	0.121845	0.000019	0.999746
specsjeng_4	7.055338	0.121845	0.000019	0.999746
specsjeng_5	7.054478	0.121845	0.000019	0.999746
specsjeng_6	7.054221	0.121829	0.000018	0.999989
specsjeng_7	7.054338	0.121829	0.000018	0.999987
specsjeng_8	7.054502	0.121829	0.000018	0.999987
specsjeng_9	4.985786	0.060917	0.000012	0.999979
specsjeng_10	3.715485	0.030461	0.000008	0.999965
specsjeng_11	3.715483	0.030461	0.000008	0.999957
