Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm_0	2.678020	0.064164	0.000133	0.930702
speclibm_1	2.678059	0.064164	0.000094	0.930840
speclibm_2	2.643485	0.061769	0.000094	0.981745
speclibm_3	2.643485	0.061769	0.000087	0.981769
speclibm_4	2.638252	0.061370	0.000087	0.990787
speclibm_5	2.637369	0.061370	0.000087	0.990787
speclibm_6	2.633691	0.061370	0.000087	0.990787
speclibm_7	2.622492	0.060971	0.000086	0.999978
speclibm_8	2.622492	0.060971	0.000085	0.999983
speclibm_9	2.622492	0.060971	0.000085	0.999983
speclibm_10	1.989960	0.030487	0.000094	0.999965
speclibm_11	1.654384	0.015244	0.000077	0.999933
speclibm_12	1.654755	0.015244	0.000077	0.999927
speclibm_13	1.448311	0.003812	0.000085	0.999324
speclibm_14	NAN	NAN	NAN	NAN
speclibm_15	1.448311	0.003812	0.000085	0.999324
speclibm_16	1.448297	0.003812	0.000066	0.999710
speclibm_17	1.448297	0.003812	0.000066	0.999721
speclibm_18	1.448297	0.003812	0.000066	0.999721
speclibm_19	1.448297	0.003812	0.000065	0.999732
speclibm_20	1.659551	0.018766	0.000148	0.336726
speclibm_21	1.720031	0.026388	0.000185	0.111959
speclibm_22	1.448297	0.003812	0.000065	0.999732
speclibm_23	1.375911	0.001906	0.000052	0.999271
speclibm_24	inf	NAN	1	1
speclibm_25	inf	NAN	1	1
speclibm_26	1.375902	0.001906	0.000049	0.999378
speclibm_27	1.375902	0.001906	0.000049	0.999378
speclibm_28	1.375902	0.001906	0.000049	0.999378
speclibm_29	1.375902	0.001906	0.000049	0.999378
speclibm_30	1.375911	0.001907	0.000049	0.999335
speclibm_31	1.375911	0.001907	0.000049	0.999335
speclibm_32	1.375949	0.001906	0.000087	0.997858
speclibm_33	1.375949	0.001906	0.000087	0.997858
speclibm_34	1.375902	0.001906	0.000049	0.999378
speclibm_35	1.375946	0.001906	0.000049	0.999378
speclibm_36	1.375964	0.001906	0.000049	0.999378
speclibm_37	1.375977	0.001906	0.000057	0.999078
speclibm_38	1.375972	0.001907	0.000049	0.999335
speclibm_39	1.375972	0.001907	0.000049	0.999335
speclibm_40	1.376756	0.001907	0.000080	0.998051
speclibm_41	1.376011	0.001907	0.000080	0.998051
speclibm_42	1.675046	0.013258	0.000112	0.139875
speclibm_43	1.675046	0.013258	0.000112	0.139875
speclibm_44	1.659825	0.013258	0.000112	0.125646
speclibm_45	1.652126	0.013259	0.000112	0.118531
speclibm_46	1.518561	0.009451	0.000112	0.340536
speclibm_47	1.516162	0.009451	0.000112	0.335386
speclibm_48	1.448297	0.003812	0.000066	0.999710
speclibm_49	1.448297	0.003812	0.000066	0.999721
speclibm_50	2.620147	0.060971	0.000084	0.999982
speclibm_51	1.988655	0.030487	0.000082	0.999961
speclibm_52	1.653670	0.015244	0.000079	0.999922
speclibm_53	1.496619	0.007623	0.000069	0.999855
speclibm_54	1.448297	0.003812	0.000065	0.999732
speclibm_55	1.448297	0.003812	0.000066	0.999721
speclibm_56	1.448297	0.003812	0.000066	0.999721
speclibm_57	1.375911	0.001907	0.000057	0.999035
speclibm_58	1.375911	0.001907	0.000052	0.999185
speclibm_59	1.375919	0.001907	0.000057	0.998992
speclibm_60	1.375902	0.001906	0.000049	0.999378
speclibm_61	1.375902	0.001906	0.000049	0.999378


